Rank,Title
6,Architect
7,Chemical Engineer
8,Mechanical Engineer
9,Electrical Engineer
10,Civil Engineer
11,Teacher
12,Professor
13,Lawyer
14,Psychologist
15,Recruiter
16,Accountant
17,Financial Analyst
18,Investment Manager
19,Management Consultant
20,Auditor
21,Dentist
22,Nurse Practitioner
23,Pharmacist
24,Physician
25,Surgeon
1,Mobile Applications Developer
2,Database Administrator
3,Social Media Manager
4,Data Scientist
5,Information Security Analyst
