,Job_titles
402,Self-Enrichment Education Teachers
404,Miscellaneous Teachers and Instructors
406,Substitute Teachers
408,"Archivists, Curators, and Museum Technicians"
410,Curators
412,Librarians
414,Library Technicians
416,"Other Education, Training, and Library Occupations"
418,Audio-Visual and Multimedia Collections Specialists
420,Farm and Home Management Advisors
422,Instructional Coordinators
424,Teacher Assistants
426,"Education, Training, and Library Workers, All Other"
428,Art and Design Workers
430,Art Directors
432,"Fine Artists, Including Painters, Sculptors, and Illustrators"
434,"Artists and Related Workers, All Other"
436,Commercial and Industrial Designers
438,Floral Designers
440,Interior Designers
442,Set and Exhibit Designers
444,"Entertainers and Performers, Sports and Related Workers"
446,Actors
448,"Athletes, Coaches, Umpires, and Related Workers"
450,Coaches and Scouts
452,Dancers and Choreographers
454,Choreographers
456,Music Directors and Composers
458,"Miscellaneous Entertainers and Performers, Sports and Related Workers"
460,Media and Communication Workers
462,Radio and Television Announcers
464,"News Analysts, Reporters and Correspondents"
466,Reporters and Correspondents
468,Public Relations Specialists
470,Editors
472,Writers and Authors
474,Interpreters and Translators
476,Media and Communication Equipment Workers
478,Audio and Video Equipment Technicians
480,Radio Operators
482,Photographers
484,"Television, Video, and Motion Picture Camera Operators and Editors"
486,Film and Video Editors
488,"Media and Communication Equipment Workers, All Other"
490,Health Diagnosing and Treating Practitioners
492,Chiropractors
494,"Dentists, General"
496,Orthodontists
498,"Dentists, All Other Specialists"
500,Dietitians and Nutritionists
502,Optometrists
504,Pharmacists
506,Anesthesiologists
508,"Internists, General"
510,"Pediatricians, General"
512,Surgeons
514,Physician Assistants
516,Podiatrists
518,Therapists
520,Physical Therapists
522,Recreational Therapists
524,Speech-Language Pathologists
526,"Therapists, All Other"
528,Veterinarians
530,Registered Nurses
532,Nurse Anesthetists
534,Nurse Midwives
536,Nurse Practitioners
538,Audiologists
540,"Health Diagnosing and Treating Practitioners, All Other"
542,Clinical Laboratory Technologists and Technicians
544,Dental Hygienists
546,Diagnostic Related Technologists and Technicians
548,Diagnostic Medical Sonographers
550,Radiologic Technologists
552,Emergency Medical Technicians and Paramedics
554,Health Practitioner Support Technologists and Technicians
556,Pharmacy Technicians
558,Respiratory Therapy Technicians
560,Veterinary Technologists and Technicians
562,Licensed Practical and Licensed Vocational Nurses
564,Medical Records and Health Information Technicians
566,"Opticians, Dispensing"
568,Miscellaneous Health Technologists and Technicians
570,Hearing Aid Specialists
572,Other Healthcare Practitioners and Technical Occupations
574,Occupational Health and Safety Specialists
576,Miscellaneous Health Practitioners and Technical Workers
578,Genetic Counselors
580,Healthcare Support Occupations
582,"Nursing, Psychiatric, and Home Health Aides"
584,Psychiatric Aides
586,Orderlies
588,Occupational Therapy Assistants and Aides
590,Occupational Therapy Aides
592,Physical Therapist Assistants
594,Other Healthcare Support Occupations
596,Massage Therapists
598,Dental Assistants
600,Medical Equipment Preparers
602,Pharmacy Aides
604,Phlebotomists
606,Protective Service Occupations
608,First-Line Supervisors of Law Enforcement Workers
610,First-Line Supervisors of Police and Detectives
612,First-Line Supervisors of Fire Fighting and Prevention Workers
614,"First-Line Supervisors of Protective Service Workers, All Other"
616,Firefighters
618,Fire Inspectors
620,Forest Fire Inspectors and Prevention Specialists
622,"Bailiffs, Correctional Officers, and Jailers"
624,Correctional Officers and Jailers
626,Detectives and Criminal Investigators
628,Fish and Game Wardens
630,Parking Enforcement Workers
632,Police and Sheriff's Patrol Officers
634,Other Protective Service Workers
636,Animal Control Workers
638,Private Detectives and Investigators
640,Gaming Surveillance Officers and Gaming Investigators
642,Miscellaneous Protective Service Workers
644,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
646,"Protective Service Workers, All Other"
648,Supervisors of Food Preparation and Serving Workers
650,Chefs and Head Cooks
652,Cooks and Food Preparation Workers
654,"Cooks, Fast Food"
656,"Cooks, Private Household"
658,"Cooks, Short Order"
660,Food Preparation Workers
